"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/30/2002","28","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
"03/31/2002","18","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
"04/01/2002","22","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
"04/02/2002","30","","FORT LEE","34-003-0004","AQS"
"04/03/2002","24","","WALL STREET","36-061-0130","AQS"
"04/04/2002","20","","WALL STREET","36-061-0130","AQS"
"04/05/2002","19","","WALL STREET","36-061-0130","AQS"
"04/06/2002","22","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
"04/07/2002","18","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
"04/08/2002","45","","FORT LEE","34-003-0004","AQS"
"04/09/2002","30","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
"04/10/2002","23","","WALL STREET","36-061-0130","AQS"
"04/11/2002","32","","ALBANY ST WTC MONITOR","36-061-0123","AQS"
