"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/17/2007","66","","Toms River","34-029-2002","AQS"
"08/18/2007","32","","Rahway","34-039-2003","AQS"
"08/19/2007","48","","DIVISION STREET","36-061-0134","AQS"
"08/20/2007","48","","Rahway","34-039-2003","AQS"
"08/21/2007","34","","Rahway","34-039-2003","AQS"
"08/22/2007","52","","FORT LEE","34-003-0004","AQS"
"08/23/2007","69","","FORT LEE","34-003-0004","AQS"
"08/24/2007","94","","FORT LEE","34-003-0004","AQS"
"08/25/2007","126","","NEWBURGH","36-071-0002","AQS"
"08/26/2007","78","","WHITE PLAINS","36-119-2004","AQS"
"08/27/2007","55","","FORT LEE","34-003-0004","AQS"
"08/28/2007","65","","FORT LEE","34-003-0004","AQS"
"08/29/2007","65","","FORT LEE","34-003-0004","AQS"
"08/30/2007","84","","FORT LEE","34-003-0004","AQS"
"08/31/2007","69","","FORT LEE","34-003-0004","AQS"
"09/01/2007","62","","New Brunswick","34-023-0006","AQS"
"09/02/2007","35","","Jersey City Firehouse","34-017-1003","AQS"
"09/03/2007","76","","New Brunswick","34-023-0006","AQS"
"09/04/2007","71","","Flemington","34-019-0001","AQS"
"09/05/2007","60","","FORT LEE","34-003-0004","AQS"
"09/06/2007","82","","Flemington","34-019-0001","AQS"
"09/07/2007","70","","Jersey City Firehouse","34-017-1003","AQS"
"09/08/2007","69","","NEWBURGH","36-071-0002","AQS"
"09/09/2007","64","","NEWBURGH","36-071-0002","AQS"
"09/10/2007","86","","FORT LEE","34-003-0004","AQS"
"09/11/2007","67","","FORT LEE","34-003-0004","AQS"
"09/12/2007","54","","New Brunswick","34-023-0006","AQS"
"09/13/2007","53","","FORT LEE","34-003-0004","AQS"
"09/14/2007","51","","FORT LEE","34-003-0004","AQS"
"09/15/2007","37","","Rahway","34-039-2003","AQS"
"09/16/2007","38","","Rahway","34-039-2003","AQS"
"09/17/2007","53","","FORT LEE","34-003-0004","AQS"
"09/18/2007","60","","FORT LEE","34-003-0004","AQS"
"09/19/2007","75","","FORT LEE","34-003-0004","AQS"
"09/20/2007","74","","Jersey City Firehouse","34-017-1003","AQS"
"09/21/2007","120","","FORT LEE","34-003-0004","AQS"
"09/22/2007","70","","FORT LEE","34-003-0004","AQS"
"09/23/2007","40","","Rahway","34-039-2003","AQS"
"09/24/2007","85","","Chester","34-027-3001","AQS"
"09/25/2007","78","","Jersey City Firehouse","34-017-1003","AQS"
"09/26/2007","91","","Jersey City Firehouse","34-017-1003","AQS"
"09/27/2007","82","","FORT LEE","34-003-0004","AQS"
"09/28/2007","47","","FORT LEE","34-003-0004","AQS"
"09/29/2007","35","","Rahway","34-039-2003","AQS"
"09/30/2007","44","","Paterson","34-031-0005","AQS"
"10/01/2007","45","","Rahway","34-039-2003","AQS"
"10/02/2007","46","","Jersey City Firehouse","34-017-1003","AQS"
"10/03/2007","71","","FORT LEE","34-003-0004","AQS"
"10/04/2007","83","","MANHATTANVILLE POST OFFICE","36-061-0119","AQS"
"10/05/2007","112","","FORT LEE","34-003-0004","AQS"
"10/06/2007","85","","FORT LEE","34-003-0004","AQS"
"10/07/2007","68","","FORT LEE","34-003-0004","AQS"
"10/08/2007","71","","Toms River","34-029-2002","AQS"
"10/09/2007","70","","FORT LEE","34-003-0004","AQS"
"10/10/2007","55","","FORT LEE","34-003-0004","AQS"
"10/11/2007","54","","FORT LEE","34-003-0004","AQS"
"10/12/2007","35","","IS 52","36-005-0110","AQS"
"10/13/2007","47","","Rahway","34-039-2003","AQS"
"10/14/2007","42","","Rahway","34-039-2003","AQS"
"10/15/2007","52","","FORT LEE","34-003-0004","AQS"
"10/16/2007","62","","FORT LEE","34-003-0004","AQS"
"10/17/2007","107","","FORT LEE","34-003-0004","AQS"
"10/18/2007","89","","FORT LEE","34-003-0004","AQS"
"10/19/2007","63","","FORT LEE","34-003-0004","AQS"
"10/20/2007","46","","IS 293","36-047-0121","AQS"
"10/21/2007","58","","","34-003-0007","AQS"
"10/22/2007","68","","Jersey City Firehouse","34-017-1003","AQS"
"10/23/2007","56","","Intermediate School 143","36-061-0115","AQS"
"10/24/2007","41","","DIVISION STREET","36-061-0134","AQS"
