"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/01/2004","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/02/2004","36","","Long Beach (South)","06-037-4004","AQS"
"03/03/2004","48","","Long Beach (South)","06-037-4004","AQS"
"03/04/2004","58","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/05/2004","55","","Azusa","06-037-0002","AQS"
"03/06/2004","73","","Anaheim","06-059-0007","AQS"
"03/07/2004","66","","Lynwood","06-037-1301","AQS"
"03/08/2004","50","","Long Beach (South)","06-037-4004","AQS"
"03/09/2004","67","","Long Beach (South)","06-037-4004","AQS"
"03/10/2004","112","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/11/2004","76","","Long Beach (North)","06-037-4002","AQS"
"03/12/2004","101","","Azusa","06-037-0002","AQS"
"03/13/2004","101","","Burbank","06-037-1002","AQS"
"03/14/2004","140","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/15/2004","161","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/16/2004","152","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/17/2004","132","","Anaheim","06-059-0007","AQS"
"03/18/2004","157","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/19/2004","155","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/20/2004","144","","Anaheim","06-059-0007","AQS"
"03/21/2004","131","","Azusa","06-037-0002","AQS"
"03/22/2004","151","","Anaheim","06-059-0007","AQS"
"03/23/2004","83","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/24/2004","69","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/25/2004","112","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/26/2004","40","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/27/2004","50","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/28/2004","59","","Long Beach (South)","06-037-4004","AQS"
"03/29/2004","53","","Long Beach (North)","06-037-4002","AQS"
"03/30/2004","71","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/31/2004","74","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/01/2004","51","","Long Beach (North)","06-037-4002","AQS"
"04/02/2004","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/03/2004","72","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/04/2004","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/05/2004","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/06/2004","67","","Burbank","06-037-1002","AQS"
"04/07/2004","69","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/08/2004","83","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/09/2004","111","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/10/2004","108","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/11/2004","92","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/12/2004","109","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/13/2004","93","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/14/2004","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/15/2004","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/16/2004","50","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/17/2004","32","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/18/2004","33","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/19/2004","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/20/2004","44","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/21/2004","78","","Anaheim","06-059-0007","AQS"
"04/22/2004","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/23/2004","42","","Long Beach (North)","06-037-4002","AQS"
"04/24/2004","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/25/2004","57","","Long Beach (North)","06-037-4002","AQS"
"04/26/2004","64","","Long Beach (North)","06-037-4002","AQS"
"04/27/2004","71","","Anaheim","06-059-0007","AQS"
"04/28/2004","62","","Azusa","06-037-0002","AQS"
"04/29/2004","57","","Azusa","06-037-0002","AQS"
"04/30/2004","74","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/01/2004","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/02/2004","59","","Long Beach (South)","06-037-4004","AQS"
"05/03/2004","66","","Long Beach (South)","06-037-4004","AQS"
"05/04/2004","77","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/05/2004","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/06/2004","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/07/2004","58","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/08/2004","49","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/09/2004","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/10/2004","56","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/11/2004","55","","Long Beach (South)","06-037-4004","AQS"
"05/12/2004","57","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/13/2004","62","","Azusa","06-037-0002","AQS"
"05/14/2004","65","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/15/2004","66","","Azusa","06-037-0002","AQS"
"05/16/2004","62","","Azusa","06-037-0002","AQS"
"05/17/2004","61","","Azusa","06-037-0002","AQS"
"05/18/2004","57","","Azusa","06-037-0002","AQS"
"05/19/2004","52","","Azusa","06-037-0002","AQS"
"05/20/2004","54","","Azusa","06-037-0002","AQS"
"05/21/2004","53","","Azusa","06-037-0002","AQS"
